fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,colour
7.8,0.645,0,0.6931471805599453,0.082,2.0794415416798357,16,0.9964,3.38,0.59,9.8,6,Red
6.7,0.675,0.07,0.8754687373538999,0.089,2.833213344056216,82,0.9958,3.35,0.54,10.1,5,Red
6.9,0.685,0,0.9162907318741551,0.105,3.091042453358316,37,0.9966,3.46,0.57,10.6,6,Red
8.3,0.655,0.12,0.8329091229351039,0.083,2.70805020110221,113,0.9966,3.17,0.66,9.8,5,Red
6.9,0.605,0.12,2.3702437414678603,0.073,3.6888794541139363,83,0.9993,3.45,0.52,9.4,6,Red
5.2,0.32,0.25,0.5877866649021191,0.103,2.5649493574615367,50,0.9957,3.38,0.55,9.2,5,Red
7.8,0.645,0,1.7047480922384253,0.086,1.6094379124341003,18,0.9986,3.4,0.55,9.6,6,Red
7.8,0.6,0.14,0.8754687373538999,0.086,1.0986122886681098,15,0.9975,3.42,0.6,10.8,6,Red
8.1,0.38,0.28,0.7419373447293773,0.066,2.5649493574615367,30,0.9968,3.23,0.73,9.7,7,Red
5.7,1.13,0.09,0.4054651081081644,0.172,1.9459101490553132,19,0.994,3.5,0.48,9.8,4,Red
7.3,0.45,0.36,1.7749523509116738,0.074,2.4849066497880004,87,0.9978,3.33,0.83,10.5,5,Red
7.3,0.45,0.36,1.7749523509116738,0.074,2.4849066497880004,87,0.9978,3.33,0.83,10.5,5,Red
8.8,0.61,0.3,1.0296194171811581,0.088,2.833213344056216,46,0.9976,3.26,0.51,9.3,4,Red
7.5,0.49,0.2,0.9555114450274363,0.332,2.0794415416798357,14,0.9968,3.21,0.9,10.5,6,Red
8.1,0.66,0.22,0.7884573603642703,0.069,2.1972245773362196,23,0.9968,3.3,1.2,10.3,5,Red
6.8,0.67,0.02,0.5877866649021191,0.05,1.6094379124341003,11,0.9962,3.48,0.52,9.5,5,Red
4.6,0.52,0.15,0.7419373447293773,0.054,2.0794415416798357,65,0.9934,3.9,0.56,13.1,4,Red
7.7,0.935,0.43,0.7884573603642703,0.114,3.091042453358316,114,0.997,3.25,0.73,9.2,5,Red
8.7,0.29,0.52,0.47000362924573563,0.113,2.4849066497880004,37,0.9969,3.25,0.58,9.5,5,Red
6.4,0.4,0.23,0.47000362924573563,0.066,1.6094379124341003,12,0.9958,3.34,0.56,9.2,5,Red
5.6,0.31,0.37,0.3364722366212129,0.074,2.4849066497880004,96,0.9954,3.32,0.58,9.2,5,Red
8.8,0.66,0.26,0.5306282510621704,0.074,1.3862943611198906,23,0.9971,3.15,0.74,9.2,5,Red
6.6,0.52,0.04,0.7884573603642703,0.069,2.0794415416798357,15,0.9956,3.4,0.63,9.4,6,Red
6.6,0.5,0.04,0.7419373447293773,0.068,1.791759469228055,14,0.9955,3.39,0.64,9.4,6,Red
8.6,0.38,0.36,1.0986122886681098,0.081,3.4011973816621555,119,0.997,3.2,0.56,9.4,5,Red
7.6,0.51,0.15,1.0296194171811581,0.11,3.4965075614664802,73,0.9955,3.17,0.63,10.2,6,Red
7.7,0.62,0.04,1.33500106673234,0.084,3.2188758248682006,45,0.9978,3.34,0.53,9.5,5,Red
10.2,0.42,0.57,1.2237754316221157,0.07,1.3862943611198906,10,0.9971,3.04,0.63,9.6,5,Red
7.5,0.63,0.12,1.62924053973028,0.111,3.912023005428146,110,0.9983,3.26,0.77,9.4,5,Red
7.8,0.59,0.18,0.8329091229351039,0.076,2.833213344056216,54,0.9975,3.43,0.59,10,5,Red
7.3,0.39,0.31,0.8754687373538999,0.074,2.1972245773362196,46,0.9962,3.41,0.54,9.4,6,Red
8.8,0.4,0.4,0.7884573603642703,0.079,2.9444389791664403,52,0.998,3.44,0.64,9.2,5,Red
7.7,0.69,0.49,0.5877866649021191,0.115,2.995732273553991,112,0.9968,3.21,0.71,9.3,5,Red
7.5,0.52,0.16,0.6418538861723947,0.085,2.4849066497880004,35,0.9968,3.38,0.62,9.5,7,Red
7,0.735,0.05,0.6931471805599453,0.081,2.5649493574615367,54,0.9966,3.39,0.57,9.8,5,Red
7.2,0.725,0.05,1.536867219599265,0.086,1.3862943611198906,11,0.9962,3.41,0.39,10.9,5,Red
7.2,0.725,0.05,1.536867219599265,0.086,1.3862943611198906,11,0.9962,3.41,0.39,10.9,5,Red
7.5,0.52,0.11,0.4054651081081644,0.079,2.3978952727983707,39,0.9968,3.42,0.58,9.6,5,Red
6.6,0.705,0.07,0.47000362924573563,0.076,1.791759469228055,15,0.9962,3.44,0.58,10.7,5,Red
9.3,0.32,0.57,0.6931471805599453,0.074,3.295836866004329,65,0.9969,3.28,0.79,10.7,5,Red
8,0.705,0.05,0.6418538861723947,0.074,2.0794415416798357,19,0.9962,3.34,0.95,10.5,6,Red
7.7,0.63,0.08,0.6418538861723947,0.076,2.70805020110221,27,0.9967,3.32,0.54,9.5,6,Red
7.7,0.67,0.23,0.7419373447293773,0.088,2.833213344056216,96,0.9962,3.32,0.48,9.5,5,Red
7.7,0.69,0.22,0.6418538861723947,0.084,2.8903717578961645,94,0.9961,3.31,0.48,9.5,5,Red
8.3,0.675,0.26,0.7419373447293773,0.084,2.3978952727983707,43,0.9976,3.31,0.53,9.2,4,Red
9.7,0.32,0.54,0.9162907318741551,0.094,3.332204510175204,83,0.9984,3.28,0.82,9.6,5,Red
8.8,0.41,0.64,0.7884573603642703,0.093,2.1972245773362196,42,0.9986,3.54,0.66,10.5,5,Red
8.8,0.41,0.64,0.7884573603642703,0.093,2.1972245773362196,42,0.9986,3.54,0.66,10.5,5,Red
6.8,0.785,0,0.8754687373538999,0.104,2.6390573296152584,30,0.9966,3.52,0.55,10.7,6,Red
6.7,0.75,0.12,0.6931471805599453,0.086,2.4849066497880004,80,0.9958,3.38,0.52,10.1,5,Red
8.3,0.625,0.2,0.4054651081081644,0.08,3.295836866004329,119,0.9972,3.16,1.12,9.1,4,Red
6.2,0.45,0.2,0.47000362924573563,0.069,1.0986122886681098,15,0.9958,3.41,0.56,9.2,5,Red
7.8,0.43,0.7,0.6418538861723947,0.464,3.091042453358316,67,0.9974,3.13,1.28,9.4,5,Red
7.4,0.5,0.47,0.6931471805599453,0.086,3.044522437723423,73,0.997,3.36,0.57,9.1,5,Red
7.3,0.67,0.26,0.5877866649021191,0.401,2.772588722239781,51,0.9969,3.16,1.14,9.4,5,Red
6.3,0.3,0.48,0.5877866649021191,0.069,2.8903717578961645,61,0.9959,3.44,0.78,10.3,6,Red
6.9,0.55,0.15,0.7884573603642703,0.076,2.9444389791664403,40,0.9961,3.41,0.59,10.1,5,Red
8.6,0.49,0.28,0.6418538861723947,0.11,2.995732273553991,136,0.9972,2.93,1.95,9.9,6,Red
7.7,0.49,0.26,0.6418538861723947,0.062,2.1972245773362196,31,0.9966,3.39,0.64,9.6,5,Red
9.3,0.39,0.44,0.7419373447293773,0.107,3.5263605246161616,125,0.9978,3.14,1.22,9.5,5,Red
7,0.62,0.08,0.5877866649021191,0.076,2.0794415416798357,24,0.9978,3.48,0.53,9,5,Red
7.9,0.52,0.26,0.6418538861723947,0.079,3.7376696182833684,140,0.9964,3.23,0.54,9.5,5,Red
8.6,0.49,0.28,0.6418538861723947,0.11,2.995732273553991,136,0.9972,2.93,1.95,9.9,6,Red
8.6,0.49,0.29,0.6931471805599453,0.11,2.9444389791664403,133,0.9972,2.93,1.98,9.8,5,Red
7.7,0.49,0.26,0.6418538861723947,0.062,2.1972245773362196,31,0.9966,3.39,0.64,9.6,5,Red
5,1.02,0.04,0.3364722366212129,0.045,3.713572066704308,85,0.9938,3.75,0.48,10.5,4,Red
4.7,0.6,0.17,0.8329091229351039,0.058,2.833213344056216,106,0.9932,3.85,0.6,12.9,6,Red
6.8,0.775,0,1.0986122886681098,0.102,2.0794415416798357,23,0.9965,3.45,0.56,10.7,5,Red
7,0.5,0.25,0.6931471805599453,0.07,1.0986122886681098,22,0.9963,3.25,0.63,9.2,5,Red
7.6,0.9,0.06,0.9162907318741551,0.079,1.6094379124341003,10,0.9967,3.39,0.56,9.8,5,Red
8.1,0.545,0.18,0.6418538861723947,0.08,2.5649493574615367,35,0.9972,3.3,0.59,9,6,Red
8.3,0.61,0.3,0.7419373447293773,0.084,2.3978952727983707,50,0.9972,3.4,0.61,10.2,6,Red
7.8,0.5,0.3,0.6418538861723947,0.075,2.0794415416798357,22,0.9959,3.31,0.56,10.4,6,Red
8.1,0.545,0.18,0.6418538861723947,0.08,2.5649493574615367,35,0.9972,3.3,0.59,9,6,Red
8.1,0.575,0.22,0.7419373447293773,0.077,2.4849066497880004,65,0.9967,3.29,0.51,9.2,5,Red
7.2,0.49,0.24,0.7884573603642703,0.07,1.6094379124341003,36,0.996,3.33,0.48,9.4,5,Red
8.1,0.575,0.22,0.7419373447293773,0.077,2.4849066497880004,65,0.9967,3.29,0.51,9.2,5,Red
7.8,0.41,0.68,0.5306282510621704,0.467,2.8903717578961645,69,0.9973,3.08,1.31,9.3,5,Red
6.2,0.63,0.31,0.5306282510621704,0.088,2.70805020110221,64,0.9969,3.46,0.79,9.3,5,Red
8,0.33,0.53,0.9162907318741551,0.091,2.8903717578961645,80,0.9976,3.37,0.8,9.6,6,Red
8.1,0.785,0.52,0.6931471805599453,0.122,3.6109179126442243,153,0.9969,3.21,0.69,9.3,5,Red
7.8,0.56,0.19,0.5877866649021191,0.104,2.4849066497880004,47,0.9964,3.19,0.93,9.5,5,Red
8.4,0.62,0.09,0.7884573603642703,0.084,2.3978952727983707,108,0.9964,3.15,0.66,9.8,5,Red
8.4,0.6,0.1,0.7884573603642703,0.085,2.6390573296152584,111,0.9964,3.15,0.66,9.8,5,Red
10.1,0.31,0.44,0.8329091229351039,0.08,3.091042453358316,46,0.9988,3.32,0.67,9.7,6,Red
7.8,0.56,0.19,0.5877866649021191,0.104,2.4849066497880004,47,0.9964,3.19,0.93,9.5,5,Red
9.4,0.4,0.31,0.7884573603642703,0.09,2.5649493574615367,62,0.9966,3.07,0.63,10.5,6,Red
8.3,0.54,0.28,0.6418538861723947,0.077,2.3978952727983707,40,0.9978,3.39,0.61,10,6,Red
7.8,0.56,0.12,0.6931471805599453,0.082,1.9459101490553132,28,0.997,3.37,0.5,9.4,6,Red
8.8,0.55,0.04,0.7884573603642703,0.119,2.6390573296152584,56,0.9962,3.21,0.6,10.9,6,Red
7,0.69,0.08,0.5877866649021191,0.097,3.091042453358316,89,0.9959,3.34,0.54,9.2,6,Red
7.3,1.07,0.09,0.5306282510621704,0.178,2.302585092994046,89,0.9962,3.3,0.57,9,5,Red
8.8,0.55,0.04,0.7884573603642703,0.119,2.6390573296152584,56,0.9962,3.21,0.6,10.9,6,Red
7.3,0.695,0,0.9162907318741551,0.075,1.0986122886681098,13,0.998,3.49,0.52,9.2,5,Red
8,0.71,0,0.9555114450274363,0.08,2.3978952727983707,34,0.9976,3.44,0.53,9.5,5,Red
7.8,0.5,0.17,0.47000362924573563,0.082,3.044522437723423,102,0.996,3.39,0.48,9.5,5,Red
9,0.62,0.04,0.6418538861723947,0.146,3.295836866004329,90,0.9984,3.16,0.7,9.4,5,Red
8.2,1.33,0,0.5306282510621704,0.081,1.0986122886681098,12,0.9964,3.53,0.49,10.9,5,Red
8.1,1.33,0,0.5877866649021191,0.082,1.0986122886681098,12,0.9964,3.54,0.48,10.9,5,Red
8,0.59,0.16,0.5877866649021191,0.065,1.0986122886681098,16,0.9962,3.42,0.92,10.5,7,Red
6.1,0.38,0.15,0.5877866649021191,0.072,1.791759469228055,19,0.9955,3.42,0.57,9.4,5,Red
8,0.745,0.56,0.6931471805599453,0.118,3.4011973816621555,134,0.9968,3.24,0.66,9.4,5,Red
5.6,0.5,0.09,0.8329091229351039,0.049,2.833213344056216,99,0.9937,3.63,0.63,13,5,Red
5.6,0.5,0.09,0.8329091229351039,0.049,2.833213344056216,99,0.9937,3.63,0.63,13,5,Red
6.6,0.5,0.01,0.4054651081081644,0.06,2.833213344056216,26,0.9952,3.4,0.58,9.8,6,Red
7.9,1.04,0.05,0.7884573603642703,0.084,2.5649493574615367,29,0.9959,3.22,0.55,9.9,6,Red
8.4,0.745,0.11,0.6418538861723947,0.09,2.772588722239781,63,0.9965,3.19,0.82,9.6,5,Red
8.3,0.715,0.15,0.5877866649021191,0.089,2.302585092994046,52,0.9968,3.23,0.77,9.5,5,Red
7.2,0.415,0.36,0.6931471805599453,0.081,2.5649493574615367,45,0.9972,3.48,0.64,9.2,5,Red
7.8,0.56,0.19,0.7419373447293773,0.081,2.70805020110221,105,0.9962,3.33,0.54,9.5,5,Red
7.8,0.56,0.19,0.6931471805599453,0.081,2.833213344056216,108,0.9962,3.32,0.54,9.5,5,Red
8.4,0.745,0.11,0.6418538861723947,0.09,2.772588722239781,63,0.9965,3.19,0.82,9.6,5,Red
8.3,0.715,0.15,0.5877866649021191,0.089,2.302585092994046,52,0.9968,3.23,0.77,9.5,5,Red
5.2,0.34,0,0.5877866649021191,0.05,3.295836866004329,63,0.9916,3.68,0.79,14,6,Red
6.3,0.39,0.08,0.5306282510621704,0.066,1.0986122886681098,20,0.9954,3.34,0.58,9.4,5,Red
5.2,0.34,0,0.5877866649021191,0.05,3.295836866004329,63,0.9916,3.68,0.79,14,6,Red
8.1,0.67,0.55,0.5877866649021191,0.117,3.4657359027997265,141,0.9968,3.17,0.62,9.4,5,Red
5.8,0.68,0.02,0.5877866649021191,0.087,3.044522437723423,94,0.9944,3.54,0.52,10,5,Red
7.6,0.49,0.26,0.47000362924573563,0.236,2.302585092994046,88,0.9968,3.11,0.8,9.3,5,Red
6.9,0.49,0.1,0.8329091229351039,0.074,2.4849066497880004,30,0.9959,3.42,0.58,10.2,6,Red
8.2,0.4,0.44,1.0296194171811581,0.089,2.3978952727983707,43,0.9975,3.53,0.61,10.5,6,Red
7.3,0.33,0.47,0.7419373447293773,0.077,1.6094379124341003,11,0.9958,3.33,0.53,10.3,6,Red
9.2,0.52,1,1.2237754316221157,0.61,3.4657359027997265,69,0.9996,2.74,2,9.4,4,Red
7.5,0.6,0.03,0.5877866649021191,0.095,3.2188758248682006,99,0.995,3.35,0.54,10.1,5,Red
7.5,0.6,0.03,0.5877866649021191,0.095,3.2188758248682006,99,0.995,3.35,0.54,10.1,5,Red
7.1,0.43,0.42,1.7047480922384253,0.07,3.367295829986474,129,0.9973,3.42,0.72,10.5,5,Red
7.1,0.43,0.42,1.7047480922384253,0.071,3.332204510175204,128,0.9973,3.42,0.71,10.5,5,Red
7.1,0.43,0.42,1.7047480922384253,0.07,3.367295829986474,129,0.9973,3.42,0.72,10.5,5,Red
7.1,0.43,0.42,1.7047480922384253,0.071,3.332204510175204,128,0.9973,3.42,0.71,10.5,5,Red
7.1,0.68,0,0.7884573603642703,0.073,2.4849066497880004,22,0.9969,3.48,0.5,9.3,5,Red
6.8,0.6,0.18,0.6418538861723947,0.079,2.8903717578961645,86,0.9968,3.59,0.57,9.3,6,Red
7.6,0.95,0.03,0.6931471805599453,0.09,1.9459101490553132,20,0.9959,3.2,0.56,9.6,5,Red
7.6,0.68,0.02,0.26236426446749106,0.072,2.1972245773362196,20,0.9965,3.17,1.08,9.2,4,Red
7.8,0.53,0.04,0.5306282510621704,0.076,2.833213344056216,31,0.9964,3.33,0.56,10,6,Red
7.4,0.6,0.26,1.9878743481543455,0.07,3.58351893845611,121,0.9982,3.37,0.49,9.4,5,Red
7.3,0.59,0.26,1.9740810260220096,0.07,3.5553480614894135,121,0.9981,3.37,0.49,9.4,5,Red
7.8,0.63,0.48,0.5306282510621704,0.1,2.6390573296152584,96,0.9961,3.19,0.62,9.5,5,Red
6.8,0.64,0.1,0.7419373447293773,0.085,2.8903717578961645,101,0.9956,3.34,0.52,10.2,5,Red
7.3,0.55,0.03,0.47000362924573563,0.072,2.833213344056216,42,0.9956,3.37,0.48,9,4,Red
6.8,0.63,0.07,0.7419373447293773,0.089,2.3978952727983707,44,0.9953,3.47,0.55,10.4,6,Red
7.5,0.705,0.24,0.5877866649021191,0.36,2.70805020110221,63,0.9964,3,1.59,9.5,5,Red
7.9,0.885,0.03,0.5877866649021191,0.058,1.3862943611198906,8,0.9972,3.36,0.33,9.1,4,Red
8,0.42,0.17,0.6931471805599453,0.073,1.791759469228055,18,0.9972,3.29,0.61,9.2,6,Red
8,0.42,0.17,0.6931471805599453,0.073,1.791759469228055,18,0.9972,3.29,0.61,9.2,6,Red
7.4,0.62,0.05,0.6418538861723947,0.068,3.1780538303479458,42,0.9961,3.42,0.57,11.5,6,Red
7.3,0.38,0.21,0.6931471805599453,0.08,1.9459101490553132,35,0.9961,3.33,0.47,9.5,5,Red
6.9,0.5,0.04,0.4054651081081644,0.085,2.9444389791664403,49,0.9958,3.35,0.78,9.5,5,Red
7.3,0.38,0.21,0.6931471805599453,0.08,1.9459101490553132,35,0.9961,3.33,0.47,9.5,5,Red
7.5,0.52,0.42,0.8329091229351039,0.087,2.0794415416798357,38,0.9972,3.58,0.61,10.5,6,Red
7,0.805,0,0.9162907318741551,0.068,1.9459101490553132,20,0.9969,3.48,0.56,9.6,5,Red
8.8,0.61,0.14,0.8754687373538999,0.067,2.302585092994046,42,0.9969,3.19,0.59,9.5,5,Red
8.8,0.61,0.14,0.8754687373538999,0.067,2.302585092994046,42,0.9969,3.19,0.59,9.5,5,Red
8.9,0.61,0.49,0.6931471805599453,0.27,3.1354942159291497,110,0.9972,3.12,1.02,9.3,5,Red
7.2,0.73,0.02,0.9162907318741551,0.076,2.772588722239781,42,0.9972,3.44,0.52,9.3,5,Red
6.8,0.61,0.2,0.5877866649021191,0.077,2.3978952727983707,65,0.9971,3.54,0.58,9.3,5,Red
6.7,0.62,0.21,0.6418538861723947,0.079,2.0794415416798357,62,0.997,3.52,0.58,9.3,6,Red
8.9,0.31,0.57,0.6931471805599453,0.111,3.258096538021482,85,0.9971,3.26,0.53,9.7,5,Red
7.4,0.39,0.48,0.6931471805599453,0.082,2.6390573296152584,67,0.9972,3.34,0.55,9.2,5,Red
7.7,0.705,0.1,0.9555114450274363,0.084,2.1972245773362196,26,0.9976,3.39,0.49,9.7,5,Red
7.9,0.5,0.33,0.6931471805599453,0.084,2.70805020110221,143,0.9968,3.2,0.55,9.5,5,Red
7.9,0.49,0.32,0.6418538861723947,0.082,2.833213344056216,144,0.9968,3.2,0.55,9.5,5,Red
8.2,0.5,0.35,1.0647107369924282,0.077,3.044522437723423,127,0.9976,3.23,0.62,9.4,5,Red
6.4,0.37,0.25,0.6418538861723947,0.074,3.044522437723423,49,0.9974,3.57,0.62,9.8,6,Red
6.8,0.63,0.12,1.33500106673234,0.099,2.772588722239781,126,0.9969,3.28,0.61,9.5,5,Red
7.6,0.55,0.21,0.7884573603642703,0.071,1.9459101490553132,28,0.9964,3.28,0.55,9.7,5,Red
7.6,0.55,0.21,0.7884573603642703,0.071,1.9459101490553132,28,0.9964,3.28,0.55,9.7,5,Red
7.8,0.59,0.33,0.6931471805599453,0.074,3.1780538303479458,120,0.9968,3.25,0.54,9.4,5,Red
7.3,0.58,0.3,0.8754687373538999,0.074,2.70805020110221,55,0.9968,3.46,0.59,10.2,5,Red
11.5,0.3,0.6,0.6931471805599453,0.067,2.4849066497880004,27,0.9981,3.11,0.97,10.1,6,Red
5.4,0.835,0.08,0.1823215567939546,0.046,2.5649493574615367,93,0.9924,3.57,0.85,13,7,Red
6.9,1.09,0.06,0.7419373447293773,0.061,2.4849066497880004,31,0.9948,3.51,0.43,11.4,4,Red
9.6,0.32,0.47,0.3364722366212129,0.056,2.1972245773362196,24,0.99695,3.22,0.82,10.3,7,Red
8.8,0.37,0.48,0.7419373447293773,0.097,3.6635616461296463,145,0.9975,3.04,1.03,9.3,5,Red
6.8,0.5,0.11,0.4054651081081644,0.075,2.772588722239781,49,0.99545,3.36,0.79,9.5,5,Red
7,0.42,0.35,0.47000362924573563,0.088,2.772588722239781,39,0.9961,3.34,0.55,9.2,5,Red
7,0.43,0.36,0.47000362924573563,0.089,2.6390573296152584,37,0.99615,3.34,0.56,9.2,6,Red
12.8,0.3,0.74,0.9555114450274363,0.095,2.1972245773362196,28,0.9994,3.2,0.77,10.8,7,Red
12.8,0.3,0.74,0.9555114450274363,0.095,2.1972245773362196,28,0.9994,3.2,0.77,10.8,7,Red
7.8,0.57,0.31,0.5877866649021191,0.069,3.258096538021482,120,0.99625,3.29,0.53,9.3,5,Red
7.8,0.44,0.28,0.9932517730102834,0.1,2.8903717578961645,95,0.9966,3.22,0.67,9.4,5,Red
11,0.3,0.58,0.7419373447293773,0.054,1.9459101490553132,19,0.998,3.31,0.88,10.5,7,Red
9.7,0.53,0.6,0.6931471805599453,0.039,1.6094379124341003,19,0.99585,3.3,0.86,12.4,6,Red
8,0.725,0.24,1.0296194171811581,0.083,2.302585092994046,62,0.99685,3.35,0.56,10,6,Red
11.6,0.44,0.64,0.7419373447293773,0.059,1.6094379124341003,15,0.998,3.21,0.67,10.2,6,Red
8.2,0.57,0.26,0.7884573603642703,0.06,3.332204510175204,65,0.9959,3.3,0.43,10.1,5,Red
7.8,0.735,0.08,0.8754687373538999,0.092,2.302585092994046,41,0.9974,3.24,0.71,9.8,6,Red
7,0.49,0.49,1.7227665977411035,0.06,3.258096538021482,121,0.9974,3.34,0.76,10.5,5,Red
8.7,0.625,0.16,0.6931471805599453,0.101,2.5649493574615367,49,0.9962,3.14,0.57,11,5,Red
8.1,0.725,0.22,0.7884573603642703,0.072,2.3978952727983707,41,0.9967,3.36,0.55,9.1,5,Red
7.5,0.49,0.19,0.6418538861723947,0.076,2.302585092994046,44,0.9957,3.39,0.54,9.7,5,Red
7.8,0.53,0.33,0.8754687373538999,0.08,3.1780538303479458,144,0.99655,3.3,0.6,9.5,5,Red
7.8,0.34,0.37,0.6931471805599453,0.082,3.1780538303479458,58,0.9964,3.34,0.59,9.4,6,Red
7.4,0.53,0.26,0.6931471805599453,0.101,2.772588722239781,72,0.9957,3.15,0.57,9.4,5,Red
6.8,0.61,0.04,0.4054651081081644,0.057,1.6094379124341003,10,0.99525,3.42,0.6,9.5,5,Red
8.6,0.645,0.25,0.6931471805599453,0.083,2.0794415416798357,28,0.99815,3.28,0.6,10,6,Red
8.4,0.635,0.36,0.6931471805599453,0.089,2.70805020110221,55,0.99745,3.31,0.57,10.4,4,Red
7.7,0.43,0.25,0.9555114450274363,0.073,3.367295829986474,63,0.99615,3.37,0.58,10.5,6,Red
8.9,0.59,0.5,0.6931471805599453,0.337,3.295836866004329,81,0.9964,3.04,1.61,9.5,6,Red
9,0.82,0.14,0.9555114450274363,0.089,2.1972245773362196,23,0.9984,3.39,0.63,9.8,5,Red
7.7,0.43,0.25,0.9555114450274363,0.073,3.367295829986474,63,0.99615,3.37,0.58,10.5,6,Red
6.9,0.52,0.25,0.9555114450274363,0.081,2.302585092994046,37,0.99685,3.46,0.5,11,5,Red
5.2,0.48,0.04,0.47000362924573563,0.054,2.9444389791664403,106,0.9927,3.54,0.62,12.2,7,Red
8,0.38,0.06,0.5877866649021191,0.078,2.4849066497880004,49,0.99625,3.37,0.52,9.9,6,Red
8.5,0.37,0.2,1.0296194171811581,0.09,2.8903717578961645,58,0.998,3.34,0.7,9.6,6,Red
6.9,0.52,0.25,0.9555114450274363,0.081,2.302585092994046,37,0.99685,3.46,0.5,11,5,Red
8.2,1,0.09,0.8329091229351039,0.065,1.9459101490553132,37,0.99685,3.32,0.55,9,6,Red
7.2,0.63,0,0.6418538861723947,0.097,2.6390573296152584,38,0.99675,3.37,0.58,9,6,Red
7.2,0.63,0,0.6418538861723947,0.097,2.6390573296152584,38,0.99675,3.37,0.58,9,6,Red
7.2,0.645,0,0.6418538861723947,0.097,2.70805020110221,39,0.99675,3.37,0.58,9.2,6,Red
7.2,0.63,0,0.6418538861723947,0.097,2.6390573296152584,38,0.99675,3.37,0.58,9,6,Red
8.2,1,0.09,0.8329091229351039,0.065,1.9459101490553132,37,0.99685,3.32,0.55,9,6,Red
8.9,0.635,0.37,0.5306282510621704,0.263,1.6094379124341003,62,0.9971,3,1.09,9.3,5,Red
12,0.38,0.56,0.7419373447293773,0.093,1.791759469228055,24,0.99925,3.14,0.71,10.9,6,Red
7.7,0.58,0.1,0.5877866649021191,0.102,3.332204510175204,109,0.99565,3.08,0.49,9.8,6,Red
