fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality,cluster
6.6,0.27,0.41,0.26236426446749106,-2.9565115604007097,16,142,3.42,-0.7550225842780328,10,6,3
7,0.25,0.32,2.1972245773362196,-3.079113882493042,56,245,3.25,-0.6931471805599453,10.4,6,4
6.9,0.24,0.35,0,-2.9565115604007097,35,146,3.45,-0.8209805520698302,10,6,3
7,0.28,0.39,2.163323025660538,-2.9759296462578115,32,141,3.38,-0.6348782724359695,10.5,6,3
7.4,0.27,0.48,0.09531017980432493,-3.0576076772720784,17,132,3.19,-0.7133498878774648,11.6,6,1
7.2,0.32,0.36,0.6931471805599453,-3.4112477175156566,37,114,3.1,-0.342490308946776,12.3,7,2
8.5,0.24,0.39,2.341805806147327,-3.123565645063876,20,142,3.2,-0.6348782724359695,10,6,1
8.3,0.14,0.34,0.09531017980432493,-3.170085660698769,7,47,3.47,-0.916290731874155,10.2,6,1
7.4,0.25,0.36,0.7178397931503168,-2.995732273553991,31,100,3.19,-0.8209805520698302,10.8,6,1
6.2,0.12,0.34,0.4054651081081644,-3.101092789211817,43,117,3.42,-0.6733445532637656,9,6,3
5.8,0.27,0.2,2.7047112998366956,-3.123565645063876,22,179,3.37,-0.9942522733438669,10.2,5,3
7.3,0.28,0.43,0.5306282510621704,-2.5257286443082556,21,123,3.19,-0.8675005677047231,12.8,5,1
6.5,0.39,0.23,1.6863989535702288,-2.9759296462578115,25,149,3.24,-1.0498221244986778,10,5,1
7,0.33,0.32,0.1823215567939546,-2.9374633654300153,38,138,3.13,-1.2729656758128873,11.2,6,1
7.3,0.24,0.39,2.8875901149342877,-2.864704011147587,45,149,3.21,-1.0216512475319814,8.6,5,4
7.3,0.24,0.39,2.8875901149342877,-2.864704011147587,45,149,3.21,-1.0216512475319814,8.6,5,4
7,0.31,0.26,2.0014800002101243,-2.6736487743848776,28,160,3.13,-0.7765287894989963,9.8,6,4
6.6,0.24,0.27,0.3364722366212129,-2.864704011147587,33,152,3.22,-0.579818495252942,9.5,6,3
6.7,0.23,0.26,0.3364722366212129,-2.8134107167600364,33,154,3.24,-0.579818495252942,9.5,6,3
7.4,0.18,0.31,0.3364722366212129,-2.8473122684357177,38,167,3.16,-0.6348782724359695,10,7,3
6.2,0.45,0.26,1.4816045409242156,-2.7646205525906042,63,206,3.27,-0.6539264674066639,9.8,4,4
6.2,0.46,0.25,1.4816045409242156,-2.7181005369557116,62,207,3.25,-0.6539264674066639,9.8,5,4
7,0.31,0.26,2.0014800002101243,-2.6736487743848776,28,160,3.13,-0.7765287894989963,9.8,6,4
6.9,0.19,0.35,1.6094379124341003,-2.703062659591171,32,150,3.36,-0.7339691750802004,9.8,5,3
7.2,0.19,0.31,0.47000362924573563,-2.7806208939370456,31,173,3.35,-0.8209805520698302,11.7,6,3
6.6,0.25,0.29,0.09531017980432493,-2.6882475738060303,39,124,3.34,-0.5447271754416722,11,7,3
6.2,0.16,0.33,0.09531017980432493,-2.864704011147587,21,82,3.32,-0.7765287894989963,10.9,7,3
6.4,0.18,0.35,0,-3.101092789211817,39,108,3.31,-1.0498221244986778,10.9,6,3
6.9,0.25,0.35,0.26236426446749106,-3.2441936328524905,29,191,3.13,-0.6539264674066639,11,6,3
7.2,0.21,0.34,2.4765384001174837,-3.146555163288575,37,213,3.09,-0.6931471805599453,9.6,6,4
6,0.19,0.26,2.517696472610991,-3.036554268074246,50,147,3.3,-1.0216512475319814,8.9,6,4
6.6,0.38,0.15,1.5260563034950492,-3.123565645063876,25,78,3.11,-0.9675840262617056,10.2,6,1
7.4,0.2,0.36,0.1823215567939546,-3.270169119255751,44,111,3.36,-1.0788096613719298,9.9,6,3
6.8,0.22,0.24,1.589235205116581,-2.385966701933097,30,123,3.03,-0.7765287894989963,8.6,6,4
6,0.19,0.26,2.517696472610991,-3.036554268074246,50,147,3.3,-1.0216512475319814,8.9,6,4
7,0.47,0.07,0.09531017980432493,-3.3524072174927233,17,151,3.02,-1.0788096613719298,10.5,5,1
6.6,0.38,0.15,1.5260563034950492,-3.123565645063876,25,78,3.11,-0.9675840262617056,10.2,6,1
7.2,0.24,0.27,0.3364722366212129,-3.270169119255751,31,122,3.15,-0.7765287894989963,10.3,6,1
6.2,0.35,0.03,0.1823215567939546,-2.7488721956224653,29,120,3.22,-0.616186139423817,9.1,5,3
6.4,0.26,0.24,1.8562979903656263,-3.2188758248682006,27,124,3.22,-0.7133498878774648,12.6,7,2
6.7,0.25,0.13,0.1823215567939546,-3.1941832122778293,81,174,3.14,-0.8675005677047231,9.8,5,4
6.7,0.23,0.31,0.7419373447293773,-3.079113882493042,30,96,3.33,-0.4462871026284195,10.7,8,3
7.4,0.24,0.29,2.3125354238472138,-2.995732273553991,21,105,3.13,-1.0498221244986778,9.5,5,1
6.2,0.27,0.43,2.0541237336955462,-2.8824035882469876,48,244,3.1,-0.6733445532637656,9,6,4
6.8,0.3,0.23,1.5260563034950492,-2.796881414808826,50.5,238.5,3.32,-0.5108256237659907,9.5,5,4
6,0.27,0.28,1.5686159179138452,-2.7646205525906042,31,201,3.69,-0.342490308946776,10,5,3
8.6,0.23,0.46,0,-2.9187712324178627,9,72,2.95,-0.7133498878774648,9.1,6,1
6.7,0.23,0.31,0.7419373447293773,-3.079113882493042,30,96,3.33,-0.4462871026284195,10.7,8,3
7.4,0.24,0.29,2.3125354238472138,-2.995732273553991,21,105,3.13,-1.0498221244986778,9.5,5,1
7.1,0.18,0.36,0.3364722366212129,-3.146555163288575,31,87,3.26,-0.9942522733438669,12.7,7,2
7,0.32,0.34,0.26236426446749106,-3.170085660698769,20,69,3.31,-0.4307829160924542,12,7,2
7.4,0.18,0.3,2.174751721484161,-2.7488721956224653,26,103,2.94,-0.579818495252942,9.3,5,1
6.7,0.54,0.28,1.6863989535702288,-2.8134107167600364,21,105,3.27,-0.9942522733438669,9,5,1
6.8,0.22,0.31,0.3364722366212129,-2.9374633654300153,34,114,3.39,-0.2613647641344075,10.6,6,3
7.1,0.2,0.34,2.772588722239781,-2.995732273553991,51,166,3.21,-0.5108256237659907,9.2,6,4
7.1,0.34,0.2,1.8082887711792655,-2.7646205525906042,47,164,3.17,-0.8675005677047231,10,5,4
7.3,0.22,0.3,2.1041341542702074,-3.0576076772720784,42,207,3.33,-0.7765287894989963,9.5,6,4
7.1,0.43,0.61,2.468099531471619,-3.101092789211817,54,155,3.11,-0.7985076962177716,8.7,5,4
7.1,0.44,0.62,2.468099531471619,-3.123565645063876,52,152,3.12,-0.7765287894989963,8.7,6,4
7.2,0.39,0.63,2.3978952727983707,-3.123565645063876,55,156,3.09,-0.8209805520698302,8.7,6,4
6.8,0.25,0.31,2.5877640352277083,-2.995732273553991,69,202,3.22,-0.7339691750802004,9.7,6,4
7.1,0.43,0.61,2.468099531471619,-3.101092789211817,54,155,3.11,-0.7985076962177716,8.7,5,4
7.1,0.44,0.62,2.468099531471619,-3.123565645063876,52,152,3.12,-0.7765287894989963,8.7,6,4
7.2,0.39,0.63,2.3978952727983707,-3.123565645063876,55,156,3.09,-0.8209805520698302,8.7,6,4
6.1,0.27,0.43,2.0149030205422647,-3.0159349808715104,65,243,3.12,-0.7550225842780328,9,5,4
6.9,0.24,0.33,0.5306282510621704,-3.3524072174927233,47,136,3.26,-0.916290731874155,12.6,7,2
6.9,0.21,0.33,0.5877866649021191,-3.3813947543659757,48,136,3.25,-0.8915981192837836,12.6,7,2
7.5,0.17,0.32,0.5306282510621704,-3.2188758248682006,51,148,3.21,-0.8209805520698302,11.5,7,3
7.1,0.26,0.29,2.517696472610991,-3.123565645063876,62,240,3.04,-0.8675005677047231,9.2,6,4
6,0.34,0.66,2.766319109226186,-3.079113882493042,26,164,3.14,-0.6931471805599453,8.8,6,4
8.6,0.265,0.36,0.1823215567939546,-3.3813947543659757,15,80,2.95,-1.0216512475319814,11.4,7,1
9.8,0.36,0.46,2.3513752571634776,-3.270169119255751,4,83,2.89,-1.2039728043259361,10.1,4,1
6,0.34,0.66,2.766319109226186,-3.079113882493042,26,164,3.14,-0.6931471805599453,8.8,6,4
7.4,0.25,0.37,2.6026896854443837,-2.8134107167600364,52,192,3,-0.8209805520698302,9.1,5,4
7.1,0.12,0.32,2.2617630984737906,-2.9187712324178627,64,162,3.4,-0.8915981192837836,9.4,5,4
6,0.21,0.24,2.4932054526026954,-2.995732273553991,55,164,3.34,-0.941608539858445,9.4,5,4
7.5,0.305,0.4,2.9391619220655967,-2.8302178350764176,44,170,2.99,-0.7765287894989963,9,5,4
7.4,0.25,0.37,2.6026896854443837,-2.8134107167600364,52,192,3,-0.8209805520698302,9.1,5,4
7.3,0.13,0.32,2.667228206581955,-2.9759296462578115,34,109,3.2,-1.0498221244986778,9.2,6,4
7.1,0.12,0.32,2.2617630984737906,-2.9187712324178627,64,162,3.4,-0.8915981192837836,9.4,5,4
7.1,0.23,0.35,2.803360380906535,-3.2188758248682006,60,171,3.16,-0.527632742082372,9.1,6,4
7.1,0.23,0.35,2.803360380906535,-3.2188758248682006,60,171,3.16,-0.527632742082372,9.1,6,4
6.9,0.33,0.28,0.26236426446749106,-2.9759296462578115,37,187,3.27,-0.5108256237659907,10.3,5,3
6.5,0.17,0.54,2.1400661634962708,-2.501036031717884,64,163,2.89,-0.941608539858445,8.8,6,4
7.2,0.27,0.46,2.9311937524164198,-2.9565115604007097,45,255,3.04,-0.6539264674066639,8.9,5,4
7.2,0.31,0.5,2.5877640352277083,-2.8824035882469876,68,195,3.01,-0.7550225842780328,9.2,5,4
6.7,0.41,0.34,2.2192034840549946,-3.0159349808715104,29,150,3.22,-0.6733445532637656,9.1,5,4
6.7,0.41,0.34,2.2192034840549946,-3.0159349808715104,29,150,3.22,-0.6733445532637656,9.1,5,4
5.5,0.485,0,0.4054651081081644,-2.7333680090865,8,103,3.63,-0.916290731874155,9.7,4,3
6,0.31,0.24,1.1939224684724346,-3.1941832122778293,25,143,3.31,-0.8209805520698302,11.3,6,3
7,0.14,0.4,0.5306282510621704,-3.3524072174927233,16,85,3.19,-0.8675005677047231,11.8,6,1
7.2,0.31,0.5,2.5877640352277083,-2.8824035882469876,68,195,3.01,-0.7550225842780328,9.2,5,4
7.3,0.32,0.48,2.5877640352277083,-2.8134107167600364,57,196,3.04,-0.6931471805599453,9.2,5,4
5.9,0.36,0.04,1.7404661748405046,-3.079113882493042,21,87,3.22,-0.6733445532637656,10.2,5,3
7.8,0.24,0.32,2.501435951739211,-2.9187712324178627,42,138,3.01,-0.616186139423817,8.8,5,4
7.4,0.16,0.31,1.9242486522741338,-2.8302178350764176,31,131,3.29,-1.0788096613719298,9.7,5,1
6.9,0.19,0.28,1.6094379124341003,-2.8473122684357177,14,146,3.29,-1.0216512475319814,9.1,6,3
6.4,0.13,0.47,0.47000362924573563,-2.385966701933097,40,158,3.21,-1.0216512475319814,9.8,6,4
6.7,0.19,0.36,0.09531017980432493,-3.649658740960655,63,143,3.27,-0.7339691750802004,11,6,3
7.4,0.39,0.23,1.9459101490553132,-3.4112477175156566,29,126,3.14,-0.8675005677047231,10.5,5,1
6.5,0.24,0.32,2.028148247292285,-3.270169119255751,48,203,3.45,-0.616186139423817,9.7,7,3
6.1,0.3,0.56,1.0296194171811581,-3.123565645063876,47,179,3.3,-0.5621189181535413,10.9,7,3
6.1,0.3,0.56,0.9932517730102834,-3.079113882493042,46,184,3.31,-0.5621189181535413,10.9,6,3
5.7,0.26,0.25,2.341805806147327,-3.912023005428146,7,57,3.39,-0.9942522733438669,10.6,5,2
6.5,0.24,0.32,2.028148247292285,-3.270169119255751,48,203,3.45,-0.616186139423817,9.7,7,3
6.5,0.425,0.4,2.5726122302071057,-3.270169119255751,59,241,3.23,-0.5621189181535413,9,5,4
6.6,0.24,0.27,2.760009940032921,-3.3524072174927233,46,188,3.24,-0.6733445532637656,9.2,5,4
6.8,0.27,0.22,2.0918640616783932,-3.3813947543659757,55,203,3.19,-0.6539264674066639,8.9,5,4
6.7,0.27,0.31,2.7536607123542622,-3.3242363405260273,44,179,3.26,-0.579818495252942,9.6,5,4
8.2,0.23,0.4,0.1823215567939546,-3.611918412977808,36,121,3.12,-0.9675840262617056,10.7,6,1
7.1,0.37,0.67,2.3513752571634776,-3.101092789211817,49,155,3.16,-0.8209805520698302,8.7,5,4
6.8,0.19,0.36,0.6418538861723947,-3.3524072174927233,30,96,3.15,-0.616186139423817,10.8,7,2
8.1,0.28,0.39,0.6418538861723947,-3.540459448995663,18,79,3.23,-0.6539264674066639,11.8,6,1
6.3,0.31,0.34,0.7884573603642703,-3.101092789211817,20,77,3.3,-0.843970070294529,10.2,5,1
7.1,0.37,0.67,2.3513752571634776,-3.101092789211817,49,155,3.16,-0.8209805520698302,8.7,5,4
7.9,0.21,0.4,0.1823215567939546,-3.2441936328524905,38,107,3.21,-0.616186139423817,10.8,6,1
8.5,0.21,0.41,1.4586150226995167,-3.3242363405260273,24,99,3.18,-0.6348782724359695,9.7,6,1
8.1,0.2,0.4,0.6931471805599453,-3.2968373663379125,19,87,3.12,-0.616186139423817,11.2,6,1
6.3,0.255,0.37,0.09531017980432493,-3.2188758248682006,37,114,3,-0.941608539858445,10.9,6,1
5.6,0.16,0.27,0.3364722366212129,-3.123565645063876,53,168,3.28,-0.9942522733438669,10.1,6,3
6.4,0.595,0.14,1.6486586255873816,-2.8473122684357177,15,97,3.38,-1.0216512475319814,9,4,1
6.3,0.34,0.33,1.5260563034950492,-3.3813947543659757,19,80,3.38,-0.5447271754416722,12,7,2
6.9,0.25,0.3,1.410986973710262,-2.9187712324178627,23,116,2.99,-0.9675840262617056,9.4,6,1
7.9,0.22,0.38,2.0794415416798357,-3.146555163288575,46,152,3.12,-1.1394342831883648,11.5,7,2
7.6,0.18,0.46,2.3223877202902252,-2.900422093749666,58,135,3.14,-0.843970070294529,9.9,6,4
6.9,0.25,0.3,1.410986973710262,-2.9187712324178627,23,116,2.99,-0.9675840262617056,9.4,6,1
7.2,0.18,0.41,0.1823215567939546,-3.036554268074246,41,97,3.14,-0.7985076962177716,10.4,5,1
8.2,0.23,0.4,2.0149030205422647,-3.0159349808715104,12,76,3.06,-0.1743533871447778,9.7,6,1
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,48,198,2.89,-0.8675005677047231,8.9,6,4
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,48,198,2.89,-0.8675005677047231,8.9,6,4
6.1,0.32,0.24,0.4054651081081644,-3.3242363405260273,38,124,3.29,-0.8675005677047231,12.4,7,2
5.2,0.44,0.04,0.3364722366212129,-3.3242363405260273,43,119,3.36,-1.1086626245216111,12.1,8,2
5.2,0.44,0.04,0.3364722366212129,-3.3242363405260273,43,119,3.36,-1.1086626245216111,12.1,8,2
6.1,0.32,0.24,0.4054651081081644,-3.3242363405260273,38,124,3.29,-0.8675005677047231,12.4,7,2
6.4,0.22,0.56,2.6741486494265287,-2.900422093749666,27,159,2.98,-0.916290731874155,9.1,5,4
6.3,0.36,0.3,1.5686159179138452,-3.0159349808715104,14,85,3.28,-0.941608539858445,10.6,5,1
7.4,0.24,0.42,2.6390573296152584,-2.7181005369557116,48,198,2.89,-0.8675005677047231,8.9,6,4
6.7,0.24,0.35,2.5726122302071057,-2.995732273553991,64,205,3.15,-0.6931471805599453,9.5,5,4
7,0.23,0.36,2.5649493574615367,-2.9759296462578115,72,177,3.16,-0.7133498878774648,9.8,5,4
8.4,0.27,0.46,2.163323025660538,-3.036554268074246,39,197,3.14,-0.527632742082372,9.6,6,4
6.7,0.46,0.18,0.8754687373538999,-3.3813947543659757,25,98,3.08,-0.8209805520698302,12.6,7,2
7.5,0.29,0.31,2.191653532286764,-2.900422093749666,20,151,3.08,-0.616186139423817,9.3,5,4
9.8,0.42,0.48,2.2874714551839976,-3.3813947543659757,5,110,2.87,-1.2378743560016174,10,5,1
7.1,0.3,0.46,0.4054651081081644,-2.7181005369557116,29,133,3.12,-0.616186139423817,12.7,6,1
7.9,0.19,0.45,0.4054651081081644,-3.101092789211817,17,96,3.13,-0.941608539858445,11,6,1
7.6,0.48,0.37,-0.2231435513142097,-3.2968373663379125,4,100,3.03,-0.941608539858445,11.4,4,1
6.3,0.22,0.43,1.5151272329628591,-3.270169119255751,31,130,3.35,-1.1086626245216111,11.5,7,2
7.5,0.27,0.31,2.8735646395797834,-2.9759296462578115,33,173,3.09,-0.4462871026284195,10.2,5,4
6.9,0.23,0.4,2.0149030205422647,-3.2188758248682006,50,151,3.11,-1.3093333199837622,11.4,6,4
7.2,0.32,0.47,1.62924053973028,-3.123565645063876,19,65,3.03,-0.8915981192837836,12.6,4,1
5.9,0.23,0.3,2.5572273113676265,-2.9187712324178627,57,170,3.28,-0.941608539858445,9.4,5,4
6,0.67,0.07,0.1823215567939546,-2.8134107167600364,9,108,3.11,-1.0498221244986778,8.7,4,1
6.4,0.25,0.32,1.7047480922384253,-3.0159349808715104,41,176,3.19,-0.3856624808119846,9.2,6,4
6.4,0.33,0.31,1.7047480922384253,-3.036554268074246,42,173,3.19,-0.4155154439616658,9.3,6,4
7.1,0.34,0.15,0.1823215567939546,-2.9374633654300153,61,183,3.09,-0.843970070294529,9.2,5,4
6.8,0.28,0.4,3.091042453358316,-3.036554268074246,48,167,2.93,-0.6931471805599453,8.7,5,4
6.9,0.27,0.4,2.6390573296152584,-2.995732273553991,64,227,3.18,-0.5447271754416722,9.6,6,4
6.8,0.26,0.56,2.4765384001174837,-3.146555163288575,64,226,3.02,-0.4620354595965587,9.3,5,4
6.8,0.29,0.56,2.4765384001174837,-3.146555163288575,66,230,3.02,-0.4620354595965587,9.3,5,4
6.7,0.24,0.41,2.2407096892759584,-3.2188758248682006,49,166,3.12,-0.4942963218147801,9.9,6,4
5.9,0.3,0.23,1.4350845252893227,-3.270169119255751,42,119,3.15,-0.6931471805599453,11,5,3
6.8,0.53,0.35,1.33500106673234,-3.3813947543659757,26,109,3.26,-0.5621189181535413,12.7,8,2
6.5,0.28,0.28,2.1400661634962708,-3.0576076772720784,54,210,3.09,-0.616186139423817,8.9,4,4
6.6,0.28,0.28,2.1400661634962708,-2.9565115604007097,55,211,3.09,-0.5978370007556204,8.9,6,4
6.8,0.28,0.4,3.091042453358316,-3.036554268074246,48,167,2.93,-0.6931471805599453,8.7,5,4
6.8,0.28,0.36,2.0794415416798357,-3.101092789211817,28,123,3.02,-0.9942522733438669,11.4,6,1
6.6,0.15,0.34,1.62924053973028,-2.900422093749666,34,125,3.36,-0.8675005677047231,9.6,5,3
6.8,0.26,0.24,2.0541237336955462,-2.9565115604007097,54,214,3.13,-0.7550225842780328,8.9,5,4
7.1,0.32,0.24,2.5726122302071057,-2.995732273553991,52,204,3.1,-0.7133498878774648,8.8,5,4
6.8,0.26,0.24,2.0541237336955462,-2.9565115604007097,54,214,3.13,-0.7550225842780328,8.9,5,4
6.8,0.27,0.26,2.7788192719904172,-3.0159349808715104,55,196,3.15,-0.6931471805599453,9.3,5,4
7.1,0.32,0.24,2.5726122302071057,-2.995732273553991,52,204,3.1,-0.7133498878774648,8.8,5,4
6.9,0.54,0.32,2.580216829592325,-2.995732273553991,53,236,3.2,-0.6931471805599453,9.6,5,4
6.8,0.26,0.34,2.631888840136646,-3.3813947543659757,39,134,3.33,-0.6348782724359695,12,6,2
5.8,0.28,0.35,0.8329091229351039,-2.9374633654300153,36,114,3.28,-0.6931471805599453,10.2,4,3
6.4,0.21,0.5,2.451005098112319,-3.170085660698769,45,153,3.15,-0.843970070294529,8.8,5,4
7,0.16,0.32,2.1162555148025524,-3.101092789211817,38,126,3.21,-1.0788096613719298,9.2,5,4
6.8,0.57,0.29,0.7884573603642703,-3.2188758248682006,15,77,3.32,-0.3011050927839216,10.2,5,1
6.1,0.4,0.31,-0.10536051565782628,-3.036554268074246,23,170,3.22,-0.2613647641344075,9.5,6,3
5.6,0.245,0.25,2.272125885509337,-3.4420193761824103,12,68,3.31,-1.0788096613719298,10.5,5,3
6.8,0.18,0.38,0.3364722366212129,-3.270169119255751,35,111,3.32,-0.527632742082372,11.2,7,3
7,0.16,0.32,2.1162555148025524,-3.101092789211817,38,126,3.21,-1.0788096613719298,9.2,5,4
6.7,0.13,0.29,1.667706820558076,-2.9759296462578115,31,122,3.44,-0.9942522733438669,9.7,6,3
6.2,0.25,0.25,0.3364722366212129,-3.506557897319982,35,105,3.3,-0.8209805520698302,11.1,7,2
5.8,0.26,0.24,2.2192034840549946,-3.123565645063876,55,152,3.31,-0.9675840262617056,9.4,5,4
7.5,0.27,0.36,1.9459101490553132,-3.3242363405260273,45,164,3.03,-1.1086626245216111,11,5,1
5.8,0.26,0.24,2.2192034840549946,-3.123565645063876,55,152,3.31,-0.9675840262617056,9.4,5,4
5.7,0.28,0.24,2.8622008809294686,-3.123565645063876,60,167,3.31,-0.8209805520698302,9.4,5,4
7.5,0.23,0.36,1.9459101490553132,-3.3242363405260273,43,161,3.04,-1.1394342831883648,11,5,1
7.5,0.27,0.36,1.9459101490553132,-3.3242363405260273,45,164,3.03,-1.1086626245216111,11,5,1
6.2,0.25,0.25,0.3364722366212129,-3.506557897319982,35,105,3.3,-0.8209805520698302,11.1,7,2
6.5,0.19,0.3,-0.2231435513142097,-3.146555163288575,33,144,3.42,-0.941608539858445,9.1,6,3
6.3,0.495,0.22,0.5877866649021191,-3.079113882493042,31,140,3.39,-0.616186139423817,10.4,6,3
7.1,0.24,0.41,2.8791984572980396,-3.079113882493042,39,145,3.32,-0.941608539858445,8.7,5,4
6.4,0.17,0.32,0.8754687373538999,-3.036554268074246,41,200,3.5,-0.6931471805599453,9.7,6,3
7.1,0.25,0.32,2.33214389523559,-3.1941832122778293,66,272,3.17,-0.6539264674066639,9.1,6,4
6.4,0.17,0.32,0.8754687373538999,-3.036554268074246,41,200,3.5,-0.6931471805599453,9.7,6,3
7.1,0.24,0.41,2.8791984572980396,-3.079113882493042,39,145,3.32,-0.941608539858445,8.7,5,4
6.8,0.64,0.08,2.272125885509337,-2.7806208939370456,26,142,3.37,-0.7765287894989963,8.9,4,4
8.3,0.28,0.4,2.0541237336955462,-3.1941832122778293,38,194,3.34,-0.6733445532637656,9.6,6,4
8.2,0.27,0.39,2.0541237336955462,-3.2441936328524905,49,208,3.31,-0.6733445532637656,9.5,6,4
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,55,194,3.09,-0.8209805520698302,9,6,4
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,55,194,3.09,-0.8209805520698302,9,6,4
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,55,194,3.09,-0.8209805520698302,9,6,4
7.2,0.23,0.38,2.6602595372658615,-2.8473122684357177,55,194,3.09,-0.8209805520698302,9,6,4
6.8,0.52,0.32,2.580216829592325,-3.123565645063876,54,221,3.27,-0.6931471805599453,9.6,6,4
7,0.26,0.59,0.3364722366212129,-3.2968373663379125,40,120,3.34,-0.8915981192837836,11.1,7,2
6.2,0.25,0.21,2.744060638625243,-3.2441936328524905,28,159,3.48,-0.4462871026284195,9.6,6,3
7.3,0.32,0.23,2.617395832834079,-2.995732273553991,49,197,3.2,-0.7765287894989963,8.7,5,4
7.7,0.31,0.26,2.0541237336955462,-3.473768074496991,23,90,3.13,-0.6931471805599453,10.4,5,1
7.1,0.21,0.37,0.8754687373538999,-3.649658740960655,23,100,3.15,-0.9675840262617056,11.4,7,2
6.8,0.24,0.34,0.9932517730102834,-3.0576076772720784,64.5,218.5,3.3,-0.5447271754416722,9.7,6,4
6.9,0.4,0.56,2.4159137783010487,-3.146555163288575,40,142,3.14,-0.7765287894989963,8.7,5,4
6.1,0.18,0.36,0.6931471805599453,-3.270169119255751,20,249.5,3.37,-0.23572233352106983,11.3,6,3
6.8,0.21,0.27,0.7419373447293773,-3.506557897319982,26,139,3.16,-0.4942963218147801,12.6,7,2
5.8,0.2,0.27,0.3364722366212129,-3.473768074496991,12,77,3.25,-1.0216512475319814,10.9,7,2
5.6,0.19,0.26,0.3364722366212129,-3.506557897319982,12,76,3.25,-0.9942522733438669,10.9,7,2
6.1,0.41,0.14,2.341805806147327,-3.2968373663379125,18,119,3.38,-0.7985076962177716,10,5,3
5.9,0.21,0.28,1.5260563034950492,-2.9374633654300153,40,199,3.72,-0.35667494393873245,10,4,3
8.5,0.26,0.21,2.785011242238338,-2.6036901857779675,41,197,3.02,-0.6931471805599453,9.8,3,4
6.9,0.4,0.56,2.4159137783010487,-3.146555163288575,40,142,3.14,-0.7765287894989963,8.7,5,4
5.8,0.24,0.44,1.252762968495368,-3.540459448995663,5,109,3.53,-0.843970070294529,11.7,3,3
5.8,0.24,0.39,0.4054651081081644,-2.9187712324178627,37,158,3.21,-0.6539264674066639,9.3,6,3
6.7,0.26,0.39,0.09531017980432493,-3.2188758248682006,45,147,3.32,-0.5447271754416722,9.6,8,3
